,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-234.551885274524,-234.551885274524,84,200,250
1,-210.9155401671663,-222.73371272084518,74,200,250
2,-254.62410863015106,-233.36384469061377,93,200,250
3,-469.10063277244643,-292.29804171107196,96,200,250
4,-252.1992201642195,-284.2782774017015,177,200,250
5,-641.4734186449579,-343.8108009422442,88,200,250
6,-37.316784560044084,-300.0259414590728,103,200,250
7,-63.090238196076555,-270.40897855119823,76,200,250
8,-110.58743102672723,-252.651028826257,69,200,250
9,-267.2223652222575,-254.10816246585705,98,200,250
10,-267.70105398122314,-255.3438798763449,81,200,250
11,-53.04172219849265,-238.48536673652384,106,200,250
12,-61.66344522640343,-224.8836804665146,59,200,250
13,-137.49037241477373,-218.64130131996168,56,200,250
14,-168.5893532487387,-215.30450478188013,73,200,250
15,-59.102436032199186,-205.5418754850251,104,200,250
16,-68.85679804658125,-197.50157681217547,102,200,250
17,55.62968853115498,-183.438728737546,224,200,250
18,-63.15911720481011,-177.108222867402,128,200,250
19,-228.2650347389872,-179.66606346098126,106,200,250
20,-135.77843511601878,-177.57617639693544,360,200,250
21,-259.5971546642892,-181.30440268181516,944,200,250
22,-92.46421093603222,-177.4417856493898,124,200,250
23,-78.83927358541457,-173.33334764672415,219,200,250
24,-277.598162204284,-177.5039402290265,165,200,250
25,-320.34197165180507,-182.99771066836414,223,200,250
26,-172.73385181131283,-182.6175677477326,468,200,250
27,-137.21255342690932,-180.9959600934175,178,200,250
28,-165.75930024299822,-180.47055802960992,264,200,250
29,-95.48537990417196,-177.637718758762,100,200,250
30,-307.53860878780085,-181.8280700500213,462,200,250
31,-87.87124367033219,-178.89191922565607,135,200,250
32,-197.6455613892311,-179.46021141243108,662,200,250
33,-168.84171372626759,-179.1479026569557,131,200,250
34,-203.03975812629116,-179.8305270989367,231,200,250
35,-186.1000611209197,-180.00468082176954,177,200,250
36,-161.81641912329164,-179.51310618127016,84,200,250
