,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-385.7086232624538,-385.7086232624538,87,200,250
1,-102.1441743108486,-243.9263987866512,59,200,250
2,-176.58526108179416,-221.47935288503217,105,200,250
3,-313.54371428417903,-244.49544323481888,103,200,250
4,-561.8008446053261,-307.9565235089203,104,200,250
5,-136.4770872066763,-279.3766174585463,62,200,250
6,-80.08545052217713,-250.90645075335073,55,200,250
7,-228.84867252504185,-248.1492284748121,59,200,250
8,-173.99469756768997,-239.90983615179852,51,200,250
9,-675.4116244079173,-283.4600149774104,76,200,250
10,-399.7275152215355,-294.02978772687635,58,200,250
11,-122.33553245236702,-279.7219331206672,68,200,250
12,-350.70933628130933,-285.1825025945628,89,200,250
13,-102.77955241042068,-272.1537204385526,89,200,250
14,-243.87430099256844,-270.2684258088203,75,200,250
15,-96.45121989129937,-259.40485043897525,83,200,250
16,-219.50559223128846,-257.0578352502878,128,200,250
17,-198.21565216616023,-253.78882507894735,101,200,250
18,-546.1089647433523,-269.1740955876002,119,200,250
19,-316.94101686640215,-271.5624416515403,137,200,250
20,-496.7039500405413,-282.2834658605404,63,200,250
21,-400.2543372768221,-287.6457781976441,105,200,250
22,-549.2047537434194,-299.0179075691995,112,200,250
23,-315.00728009989155,-299.6841314246451,76,200,250
24,-536.0562057144343,-309.1390143962367,160,200,250
25,-356.7203962342596,-310.96906754385293,80,200,250
26,-407.0832572517906,-314.5288523478506,62,200,250
27,-236.71534069454503,-311.74979836023255,99,200,250
28,-234.51778031246087,-309.0866253241025,128,200,250
29,-220.35100059440293,-306.1287711664458,105,200,250
30,-201.06173598384507,-302.7395119670071,69,200,250
31,-262.9560179732824,-301.49627777970323,66,200,250
32,-9.330516937037402,-292.64276987538005,93,200,250
33,-397.2133933772132,-295.71837644896334,92,200,250
34,-391.46450303816295,-298.4539800657976,95,200,250
35,-545.3824697800306,-305.31310478008186,148,200,250
36,-448.6671894026554,-309.18753949961086,110,200,250
37,-441.484837711686,-312.66904734729707,89,200,250
38,-191.1572286790423,-309.5533596891367,111,200,250
39,-248.15607511037845,-308.0184275746677,78,200,250
40,-253.361456789322,-306.6853307262447,107,200,250
41,-378.3745275352592,-308.39221636455454,99,200,250
42,-509.2160079394111,-313.0625370988535,124,200,250
43,-399.13562435627404,-315.01874362743126,77,200,250
44,-315.4157976533969,-315.0275670502305,83,200,250
45,-518.7348840381537,-319.45598698475055,220,200,250
46,-230.82125904743788,-317.57014170948855,112,200,250
47,-39.35223881281665,-311.7739353991413,72,200,250
48,-267.4674791692652,-310.8697220066948,208,200,250
49,-316.07663309790445,-310.973860228519,186,200,250
50,-135.78345297863626,-307.53875420401147,159,200,250
51,-185.84018934161134,-305.1983971874269,129,200,250
52,-237.18824768706264,-303.9151868194955,172,200,250
53,-130.86710040162984,-300.71059262657207,292,200,250
54,-298.5112866035098,-300.6706052443346,219,200,250
55,-105.58867247675705,-297.1869993020564,125,200,250
56,-114.26904158556637,-293.9779123245741,139,200,250
57,-137.2943997885488,-291.2764724532633,139,200,250
58,-360.46000755964127,-292.44907474320195,212,200,250
59,-356.9929032863564,-293.52480521892113,231,200,250
60,-177.47714670480184,-291.6223845875421,198,200,250
61,-247.0547776400849,-290.90355221742186,250,200,250
62,-120.83173053279596,-288.2039994922691,78,200,250
63,-74.16410747989272,-284.85962617957574,137,200,250
64,-218.8019868698042,-283.8433548055792,119,200,250
65,-412.31776895566435,-285.7899368381563,389,200,250
66,-436.25775646875303,-288.03572519085174,217,200,250
67,-320.22001788484795,-288.50902361282226,309,200,250
68,-322.84720389473165,-289.00667839951666,183,200,250
69,-105.4092468593593,-286.38385794894293,181,200,250
70,-158.06662413189247,-284.5765729656042,157,200,250
71,-368.7154836935229,-285.7451689479364,283,200,250
72,-313.92389497270676,-286.1311788934812,311,200,250
73,-159.08771285587986,-284.41437529837845,95,200,250
74,-318.93912971886726,-284.8747053573183,213,200,250
75,-193.48105599246156,-283.67215733935967,102,200,250
76,-299.8657095042412,-283.88246321163086,200,200,250
77,-296.1338646712751,-284.0395324611135,162,200,250
78,-439.25705489386775,-286.00431122608506,368,200,250
79,-177.5289883410228,-284.6483696900218,182,200,250
80,-182.9121653892139,-283.39236716778964,333,200,250
81,-132.14229349493712,-281.54785407421826,126,200,250
82,-338.74805330865956,-282.2370131011392,125,200,250
83,-90.4549994566301,-279.95389389108556,202,200,250
84,-166.0023721558373,-278.6132877530238,184,200,250
85,-145.68237409855797,-277.06757945471605,690,200,250
86,-103.09391429810361,-275.06788215406533,299,200,250
87,-57.74494622972264,-272.59830333674324,127,200,250
88,-151.08663599648122,-271.2330037037066,136,200,250
89,-454.10530211539947,-273.2649181305032,101,200,250
90,-531.1308907445332,-276.0986101372508,203,200,250
91,-193.84279716652875,-275.204525213656,137,200,250
92,-170.60282696727788,-274.07977577014657,127,200,250
93,-209.48735268094512,-273.3926223330274,217,200,250
94,-572.9458608649581,-276.54581431757407,265,200,250
95,-208.80693701758128,-275.84020101236575,124,200,250
96,-280.7849701006256,-275.8911780132757,116,200,250
97,-189.8797259026358,-275.01351013459566,150,200,250
98,-152.70489693103957,-273.778069597186,93,200,250
99,-92.25132195190307,-271.96280212073316,118,200,250
100,-498.9044967295244,-273.0947608554038,130,200,250
101,-159.0864825184753,-273.6641839374801,340,200,250
102,-567.4767008531519,-277.5730983351937,145,200,250
103,-156.09875526453823,-275.99864874499735,999,200,250
104,-132.62549786768648,-271.70689527762096,192,200,250
105,-210.99915406903682,-272.45211594624453,256,200,250
106,-135.0634098947901,-273.00189553997063,100,200,250
107,-90.23689690261939,-271.6157777837464,136,200,250
108,-125.3531007173923,-271.12936181524344,160,200,250
109,-200.92616082835227,-266.3845071794478,193,200,250
110,-89.17843380990328,-263.2790163653315,138,200,250
111,-97.95270260715931,-263.03518806687936,144,200,250
112,-96.52708705909531,-260.4933655746572,215,200,250
113,-78.05541016801946,-260.2461241522332,134,200,250
114,-436.11508311231387,-262.1685319734307,205,200,250
115,-331.3266014662548,-264.5172857891802,178,200,250
116,-333.48808807521124,-265.65711074761947,207,200,250
117,-103.95680622363699,-264.7145222881942,108,200,250
118,-78.33690053824412,-260.03680164614315,276,200,250
119,-252.82602447601602,-259.39565172223934,218,200,250
120,-290.1183476345544,-257.3297956981794,151,200,250
121,-156.46115969237553,-254.89186392233495,345,200,250
122,-234.50533824588308,-251.74486976735955,228,200,250
123,-187.55021169693418,-250.47029908333,97,200,250
124,-106.83395628473512,-246.178076589033,118,200,250
125,-170.55704565188933,-244.31644308320935,143,200,250
126,-94.62535896472993,-241.1918641003387,95,200,250
127,-453.94560923650096,-243.36416678575833,186,200,250
128,-113.18327707841748,-242.15082175341783,224,200,250
129,-286.62841561560487,-242.81359590362982,254,200,250
130,-183.1280057653832,-242.63425860144523,137,200,250
131,-205.34012050430954,-242.05809962675548,476,200,250
132,-90.77810462338692,-242.87257550361898,423,200,250
133,-63.013946209601926,-239.53058103194286,247,200,250
134,-176.32104267017968,-237.37914642826308,251,200,250
135,-191.86611682033922,-233.84398289866616,171,200,250
136,-61.92119616427419,-229.97652296628235,260,200,250
137,-163.78571952298876,-227.19953178439536,152,200,250
138,-379.6440206702608,-229.08439970430757,324,200,250
139,-117.72337656491007,-227.7800727188529,395,200,250
140,-156.8473326835229,-226.8149314777949,132,200,250
141,-136.13422130748083,-224.39252841551712,390,200,250
142,-288.02516384457715,-222.1806199745688,101,200,250
143,-177.56732659643768,-219.96493699697044,110,200,250
144,-44.873059659121026,-217.25950961702765,267,200,250
145,2.8242145133024223,-212.04391863151307,148,200,250
146,-150.43597143013778,-211.24006575534008,448,200,250
147,-275.07293935714927,-213.59727276078343,201,200,250
148,-5.84630034592405,-210.98106097255004,152,200,250
149,-123.43740092901297,-209.0546686508611,948,200,250
150,-191.74578874807554,-209.61429200855542,389,200,250
151,-39.62218651481008,-208.1521119802875,89,200,250
152,-137.12246072943702,-207.15145411071117,470,200,250
153,-234.09356806256582,-208.18371878732054,297,200,250
154,1.4410250538713711,-205.18419567074673,331,200,250
155,-296.8016833834773,-207.09632577981395,820,200,250
156,-32.58352425039945,-206.27947060646227,214,200,250
157,-269.8170088153296,-207.6046966967301,996,200,250
158,-117.31378874883953,-205.17323450862213,115,200,250
159,-99.14583830801892,-202.59476385883872,109,200,250
160,-247.21969631145006,-203.2921893549052,335,200,250
161,-251.01033319228353,-203.33174491042715,233,200,250
162,-230.23449074762854,-204.4257725125755,156,200,250
163,-63.88443971322269,-204.3229758349088,295,200,250
164,-284.81720132073616,-204.98312797941813,202,200,250
165,-102.5625631479458,-201.88557592134094,283,200,250
166,-99.92756272700915,-198.52227398392353,139,200,250
167,-83.37948891759068,-196.15386869425092,137,200,250
168,-291.087068438925,-195.83626733969285,427,200,250
169,-101.23248978560396,-195.79449976895535,157,200,250
170,-138.35250065746425,-195.59735853421103,999,200,250
171,-212.75439286226313,-194.03774762589842,255,200,250
172,-9.670007694808518,-190.99520875311936,356,200,250
173,-109.61574197775994,-190.50048904433817,368,200,250
174,-5.955802420968112,-187.3706557713592,161,200,250
175,-318.7268181779757,-188.62311339321437,377,200,250
176,-32.63100827186628,-185.95076638089063,131,200,250
177,-187.82358369517812,-184.86766357112967,156,200,250
178,-211.09388083360108,-182.586031830527,378,200,250
179,-218.8627337454899,-182.99936928457166,283,200,250
180,-218.51103587832256,-183.35535798946276,145,200,250
181,-148.40373520063787,-183.51797240651976,115,200,250
182,-158.2989025519213,-181.71348089895233,299,200,250
183,-54.98785576773413,-181.3588094620634,167,200,250
184,-51.75525399256961,-180.2163382804307,125,200,250
185,-180.792235243013,-180.5674368918753,315,200,250
186,-106.48744370131122,-180.60137218590734,84,200,250
187,-213.4554512831926,-182.15847723644205,270,200,250
188,-182.68236445020204,-182.47443452097926,123,200,250
189,26.37747927707541,-177.66960670705453,198,200,250
190,-169.35876152636502,-174.05188541487286,191,200,250
191,-107.63092089995519,-173.1897666522071,154,200,250
192,-57.329923773826366,-172.05703762027258,190,200,250
193,-181.97096880559315,-171.78187378151898,93,200,250
194,-5.864691883033217,-166.11106209169978,352,200,250
195,-82.06036867356025,-164.84359640825957,72,200,250
196,-8.502408443759407,-162.12077079169092,214,200,250
197,-198.87369839066938,-162.21071051657123,139,200,250
198,-227.76030573478675,-162.96126460460871,246,200,250
199,-155.658286885338,-163.59533425394307,269,200,250
200,-197.17863391589657,-160.5780756258068,428,200,250
201,-111.90665347775727,-160.10627733539962,469,200,250
202,-171.92919691029948,-156.15080229597115,108,200,250
203,-184.78725839945434,-156.43768732732028,142,200,250
204,-225.31390170528147,-157.36457136569624,184,200,250
205,-269.12830625700474,-157.9458628875759,260,200,250
206,-276.0280238250251,-159.35550902687828,322,200,250
207,-87.36588659521331,-159.3267989238042,146,200,250
208,-217.76143819200925,-160.25088229855038,194,200,250
209,-226.97688967219167,-160.51138958698874,442,200,250
210,-239.52044952281943,-162.0148097441179,526,200,250
211,-176.68908307234489,-162.80217354876976,231,200,250
212,-243.81168705268064,-164.27501954870561,124,200,250
213,-186.0302136244553,-165.35476758326996,97,200,250
214,-168.62488841002232,-162.67986563624706,134,200,250
215,-198.86516360489614,-161.35525125763348,186,200,250
216,-165.13790093462205,-159.6717493862276,109,200,250
217,-109.90043723263574,-159.7311856963176,199,200,250
218,-233.305169170307,-161.28086838263823,138,200,250
219,-171.72155407169282,-160.469823678595,184,200,250
220,-175.49229151765672,-159.32356311742603,251,200,250
221,-317.79701656044597,-160.93692168610673,301,200,250
222,-190.92466993695655,-160.50111500301745,94,200,250
223,-184.17057274932583,-160.46731861354135,165,200,250
224,-97.85256793697792,-160.37750473006378,195,200,250
225,-247.12231016263368,-161.1431573751712,127,200,250
226,-205.86227005447327,-162.25552648606865,129,200,250
227,-169.22316890892057,-159.40830208279283,129,200,250
228,-199.76114628521222,-160.2740807748608,475,200,250
229,-211.70641495657839,-159.52486076827054,203,200,250
230,-159.5686389459373,-159.28926710007607,112,200,250
231,-235.17371813547595,-159.58760307638775,223,200,250
232,-233.43561493105298,-161.0141781794644,214,200,250
233,-148.6489364263516,-161.87052808163193,460,200,250
234,-125.5833583391393,-161.3631512383215,102,200,250
235,-194.9038070701956,-161.39352814082008,461,200,250
236,-239.44400547484804,-163.1687562339258,142,200,250
237,-198.34612279794197,-163.51436026667534,266,200,250
238,-142.7981261336434,-161.14590132130917,302,200,250
239,-380.2163931149163,-163.77083148680924,514,200,250
240,-201.58018829267047,-164.2181600429007,255,200,250
241,-181.19994839118618,-164.66881731373775,260,200,250
242,-157.65969852065183,-163.3651626604985,165,200,250
243,-120.94299408051309,-162.79891933533926,139,200,250
244,-155.5549082419074,-163.9057378211671,247,200,250
245,-113.9617929272695,-165.07359789557282,104,200,250
246,-208.38237247420244,-165.6530619060135,203,200,250
247,-146.57185893396223,-164.36805110178165,129,200,250
248,-217.02517539743553,-166.47983985229675,208,200,250
249,-137.26776057275322,-166.6181434487342,330,200,250
250,-177.7045005536781,-166.47773056679017,162,200,250
251,-224.90588680588414,-168.33056756970092,97,200,250
252,-183.3825694206235,-168.79316865661275,136,200,250
253,-12.456198337618233,-166.57679495936333,258,200,250
254,-223.94929502520398,-168.83069816015407,385,200,250
255,-116.96158923332024,-167.0322972186525,110,200,250
256,-131.37311248051324,-168.02019310095363,157,200,250
257,-150.54704977862497,-166.82749351058658,259,200,250
258,-220.5969748770839,-167.860325371869,599,200,250
259,-109.15938149372937,-167.96046080372608,122,200,250
260,-213.1458800591261,-167.61972264120283,528,200,250
261,-223.54494878579624,-167.34506879713797,161,200,250
262,-148.980479803771,-166.53252868769943,193,200,250
263,-277.2352786373813,-168.66603707694097,862,200,250
264,-145.1401020125979,-167.26926608385963,86,200,250
265,-152.047716296975,-167.76411761534996,519,200,250
266,-307.1050624584402,-169.83589261266422,778,200,250
267,-198.4345993124834,-170.98644371661314,219,200,250
268,-233.3209989276626,-170.40878302150054,806,200,250
269,-182.5364353997708,-171.2218224776422,129,200,250
270,-199.13659918353304,-171.8296634629029,213,200,250
271,-321.5033230603808,-172.91715276488404,585,200,250
272,-172.55512352317447,-174.54600392316777,149,200,250
273,-147.1314239243929,-174.92116074263404,184,200,250
274,-190.28876099854324,-176.7644903284098,231,200,250
275,-213.6531173576649,-175.7137533202067,661,200,250
276,-210.67943852115255,-177.4942376226996,372,200,250
277,-69.47615844258536,-176.31076337017367,352,200,250
278,-287.8116222433388,-177.07794078427105,674,200,250
279,-291.3256605156498,-177.80257005197262,517,200,250
280,-196.6305703830878,-177.58376539702024,206,200,250
281,-201.0623731249725,-178.11035177626357,137,200,250
282,-173.9031059208242,-178.2663938099526,133,200,250
283,-359.9721580667847,-181.3162368329431,232,200,250
284,-174.02645751858273,-182.53894886820325,218,200,250
285,-288.93813914383463,-183.62040790721147,476,200,250
286,-265.34451208672124,-185.20897859106557,489,200,250
287,-457.71655462526644,-187.65158962448632,454,200,250
288,-243.6925610875271,-188.26169159085958,528,200,250
289,-367.9643090643292,-192.20510947427363,631,200,250
290,-269.92977060310193,-193.210819565041,704,200,250
291,-162.56732209634563,-193.7601835770049,303,200,250
292,-227.30211803214152,-195.4599055195881,276,200,250
293,-161.12584377745358,-195.25145426930666,97,200,250
294,-224.75376798267817,-197.4403450303031,236,200,250
295,-210.18033473552381,-198.7215446909227,325,200,250
296,-197.20815487271437,-200.60860215521228,587,200,250
297,-70.98573360418426,-199.32972250734747,174,200,250
298,-179.3616233547188,-198.84573568354674,142,200,250
299,-103.17609771664348,-198.32091379185985,258,200,250
300,-276.1994974739391,-199.11112242744028,698,200,250
301,-202.2639215314284,-200.01469510797696,280,200,250
302,-195.4855927250627,-200.25025906612456,196,200,250
303,-194.55917879884544,-200.34797827011846,185,200,250
304,-183.3962713455523,-199.92880196652118,124,200,250
305,-183.39048188696643,-199.07142372282075,148,200,250
306,-153.29052135028167,-197.84404869807338,326,200,250
307,-276.81972584463233,-199.73858709056756,601,200,250
308,-187.65947667809723,-199.43756747542847,147,200,250
309,-229.84884808669034,-199.46628705957343,437,200,250
310,-228.63152059465153,-199.35739777029175,590,200,250
