,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-468.7657719613072,-468.7657719613072,80,200,250
1,-162.6535765335047,-315.7096742474059,62,200,250
2,-419.2145332453263,-350.2112939133794,110,200,250
3,-521.5667919363875,-393.0501684191314,83,200,250
4,-334.6966976526581,-381.37947426583673,83,200,250
5,-395.2054312536753,-383.68380043047654,169,200,250
6,-358.200682515672,-380.04335501407587,81,200,250
7,-266.1226640195632,-365.80326863976177,91,200,250
8,-95.96508497730774,-335.8212482328224,70,200,250
9,-187.82688842485106,-321.0218122520253,63,200,250
10,-149.35468924889778,-305.41571016083185,59,200,250
11,-110.49480635702925,-289.17230151051496,83,200,250
12,-198.16679256427696,-282.17187774541975,68,200,250
13,-51.587258135021216,-265.7015477732484,77,200,250
14,-326.84926765248713,-269.7780624318643,89,200,250
15,-114.2024725398741,-260.054588063615,61,200,250
16,-275.86569884402456,-260.9846534036391,71,200,250
17,-301.91292070337425,-263.2584460314021,94,200,250
18,-143.92680145218316,-256.9778331588116,91,200,250
19,-405.17110147484254,-264.3874965746132,82,200,250
20,-255.23766590103963,-263.95179035206206,139,200,250
21,-722.4932941019988,-284.79458597705917,114,200,250
22,-273.2031135684108,-284.2906089158136,67,200,250
23,-166.9424432855911,-279.40110201455434,131,200,250
24,-1200.435448386499,-316.24247586943216,163,200,250
25,-455.39928966000235,-321.59466101522327,143,200,250
26,-605.0841522655262,-332.0942718022715,83,200,250
27,-95.68162075051315,-323.6509628361373,55,200,250
28,-158.18308176653852,-317.94517383373733,99,200,250
29,-255.15392530117145,-315.8521322159851,68,200,250
30,-570.8595196922906,-324.0781769732853,128,200,250
31,-231.43300470433263,-321.18301533988057,72,200,250
32,-252.95032972336173,-319.1153581999861,106,200,250
33,-156.22441971611227,-314.32444824457804,97,200,250
34,-241.43401303053676,-312.2418643813197,80,200,250
35,-615.5350072500306,-320.6666739054506,128,200,250
36,-143.20517557799494,-315.87041719389777,92,200,250
37,-97.78171575785086,-310.13124084031756,104,200,250
38,-390.3631658432976,-312.1884696865478,102,200,250
39,-100.65939296007531,-306.90024276838597,153,200,250
40,-425.0795857209075,-309.7826657672279,160,200,250
41,-176.34327654500248,-306.60553745241305,68,200,250
42,-90.01064615037377,-301.5684469570168,60,200,250
43,-314.8004071343968,-301.86917332468454,105,200,250
44,-192.68575135804969,-299.4428750587593,145,200,250
45,-301.96351692966147,-299.49767162117024,157,200,250
46,-265.9846178456094,-298.7846279238179,165,200,250
47,-196.4107313534712,-296.65183841193567,214,200,250
48,-189.23492085426224,-294.45965642096274,126,200,250
49,-224.10824875446156,-293.05262826763266,84,200,250
50,-204.9397733218504,-291.3249252294801,95,200,250
51,-78.91815631410341,-287.2401796734151,94,200,250
52,-97.53528760313903,-283.66084208718354,150,200,250
53,-347.7391407074174,-284.8474772468175,164,200,250
54,-321.3029325451689,-285.5103037067875,195,200,250
55,-358.3674497851199,-286.811324172472,187,200,250
56,-360.3598627910953,-288.1016494113952,147,200,250
57,-436.07372521268485,-290.6528920976244,155,200,250
58,-264.31246645083485,-290.2064442053059,115,200,250
59,-750.1196935933864,-297.8716650284406,273,200,250
60,-218.002674741953,-296.56233731882605,80,200,250
61,-414.8772286381158,-298.4706420175243,136,200,250
62,-148.50213704916786,-296.0901895577091,111,200,250
63,-390.9487186411896,-297.57235407463844,213,200,250
64,-339.84678814140744,-298.22272998335797,154,200,250
65,-144.3723152373126,-295.89166309326635,89,200,250
66,-228.57163077158947,-294.8868864914503,104,200,250
67,-460.6255494732581,-297.3242197705945,300,200,250
68,-320.998755482285,-297.6673289838074,138,200,250
69,-192.65904352871752,-296.16721062016325,314,200,250
70,-334.6775087458402,-296.70960918531364,137,200,250
71,-189.57418552730047,-295.2216171900635,193,200,250
72,-310.64286573387267,-295.4328671701157,208,200,250
73,-370.81182672237003,-296.4515017586597,238,200,250
74,-179.41099685844762,-294.8909616933235,352,200,250
75,-139.95058544640324,-292.8522725321798,93,200,250
76,-52.52678974418376,-289.731162366102,174,200,250
77,-226.47291883901104,-288.9201592439598,283,200,250
78,-210.3980031974853,-287.9262079015994,163,200,250
79,-139.49841023433925,-286.07086043075856,175,200,250
80,-319.11927790837626,-286.4788655848032,155,200,250
81,-378.3095948083409,-287.59875252655365,147,200,250
82,-387.68706533210326,-288.8046358133675,90,200,250
83,-285.87109982654977,-288.76971276590535,307,200,250
84,-525.8325296522568,-291.5586870822154,158,200,250
85,-308.21915191496305,-291.7524134174799,152,200,250
86,-123.78236038475075,-289.82172315273584,123,200,250
87,-348.7886077684286,-290.4918013870052,111,200,250
88,-374.15785105707386,-291.43186936082617,142,200,250
89,-371.15875603482834,-292.31772365720394,115,200,250
90,-333.38905994175457,-292.76905702296824,119,200,250
91,-336.35467111344235,-293.2428136978647,137,200,250
92,-330.4916716110997,-293.64333905177045,132,200,250
93,-326.5711027275422,-293.99363441002333,98,200,250
94,-242.02621035973917,-293.44660889370454,142,200,250
95,-115.47438043374873,-291.59273151391335,108,200,250
96,-327.35097449028547,-291.9613731940821,140,200,250
97,-151.9456516568722,-290.5326413416616,147,200,250
98,-579.5808631111952,-293.4523203494347,186,200,250
99,-522.2871083914847,-295.74066822985515,254,200,250
100,-593.5363345408445,-296.9883738556506,205,200,250
101,-125.00945423164049,-296.6119326326319,159,200,250
102,-349.8988510101527,-295.9187758102802,119,200,250
103,-360.00321333783694,-294.3031400242947,139,200,250
104,-176.97890559278278,-292.72596210369596,143,200,250
105,-131.22192868289483,-290.0861270779882,128,200,250
106,-405.8020642076479,-290.5621408949079,199,200,250
107,-268.73823571228206,-290.58829661183506,192,200,250
108,-450.2852110594034,-294.13149787265604,385,200,250
109,-137.5541814294039,-293.6287708027015,178,200,250
110,-341.5862078797584,-295.5510859890102,213,200,250
111,-334.87967459037964,-297.7949346713437,216,200,250
112,-452.88348933681016,-300.342101639069,132,200,250
113,-164.06240466703622,-301.46685310438914,178,200,250
114,-367.58665468285386,-301.8742269746928,170,200,250
115,-127.86853627219588,-302.01088761201606,102,200,250
116,-361.8448713254155,-302.87067933682994,196,200,250
117,-155.99263173816178,-301.41147644717785,197,200,250
118,-245.55002748517683,-302.42770870750775,175,200,250
119,-259.8020911648897,-300.9740186044083,115,200,250
120,-198.35624854548462,-300.40520443085273,149,200,250
121,-214.4781599314435,-295.32505308914716,145,200,250
122,-489.2617621739229,-297.4856395752023,142,200,250
123,-299.6652069344782,-298.8128672116912,132,200,250
124,-456.66654306633524,-291.3751781584895,265,200,250
125,-784.8408139717258,-294.66959340160673,127,200,250
126,-219.9386203975225,-290.8181380829267,96,200,250
127,-716.6444233304359,-297.02776610872587,388,200,250
128,-765.4916530563825,-303.10085182162436,129,200,250
129,-378.55364897607245,-304.3348490583733,130,200,250
130,-282.29425864711794,-301.4491964479216,156,200,250
131,-760.6038991767783,-306.740905392646,100,200,250
132,-236.32355137797146,-306.5746376091922,134,200,250
133,-222.21193863269298,-307.234512798358,97,200,250
134,-173.04187405648912,-306.55059140861755,183,200,250
135,-432.6691741875643,-304.72193307799284,173,200,250
136,-296.31670620429725,-306.25304838425586,129,200,250
137,-297.4570413486154,-308.2498016401635,92,200,250
138,-329.4780501202189,-307.64095048293274,320,200,250
139,-163.76161932024985,-308.27197274653446,117,200,250
140,-163.9018559666917,-305.6601954489923,137,200,250
141,-315.73816341674024,-307.0541443177097,328,200,250
142,-505.0839109165649,-311.20487696537157,211,200,250
143,-464.05346867120267,-312.69740758073965,351,200,250
144,-397.6805554435599,-314.74735562159475,128,200,250
145,-355.53816931103484,-315.2831021454085,289,200,250
146,-356.4892070996471,-316.1881480379489,243,200,250
147,-165.22828213600957,-315.8763235457743,119,200,250
148,-287.2814033515344,-316.85678837074704,207,200,250
149,-273.7822046571164,-317.3535279297736,190,200,250
150,-197.91696063220124,-317.2832998028771,106,200,250
151,-280.4835393774824,-319.29895363351085,166,200,250
152,-243.0378975776783,-320.7539797332562,194,200,250
153,-415.2048562154688,-321.42863688833677,170,200,250
154,-360.18940203649294,-321.81750158324996,240,200,250
155,-184.02723833353218,-320.0740994687341,180,200,250
156,-357.1335797942117,-320.0418366387653,134,200,250
157,-128.26229695166037,-316.963722356155,122,200,250
158,-305.363556095229,-317.3742332525989,169,200,250
159,-254.40912698610364,-312.41712758652614,105,200,250
160,-188.62243238041492,-312.12332516291076,112,200,250
161,-236.17704963312636,-310.3363233728608,146,200,250
162,-438.4954255993284,-313.23625625836246,318,200,250
163,-229.23693035516672,-311.61913837550225,252,200,250
164,-462.689460869251,-312.84756510278066,176,200,250
165,-344.5746116853846,-314.84958806726144,142,200,250
166,-240.8408771980908,-314.9722805315264,195,200,250
167,-355.9264822327969,-313.9252898591218,155,200,250
168,-337.0145717877018,-314.08544802217597,204,200,250
169,-236.92242076013466,-314.52808179449016,122,200,250
170,-195.69782421191624,-313.1382849491509,181,200,250
171,-189.49964914056847,-313.1375395852836,293,200,250
172,-140.0658740263915,-311.43176966820874,294,200,250
173,-307.51372148603775,-310.7987886158454,156,200,250
174,-119.88861161040484,-310.20356476336497,156,200,250
175,-232.88579361512757,-311.13291684505225,225,200,250
176,-219.03525587986624,-312.7980015064091,215,200,250
177,-158.66693069659573,-312.1199416249849,375,200,250
178,-493.7799899928165,-314.95376149293827,270,200,250
179,-297.9589261213095,-316.53836665180796,283,200,250
180,-330.4571969563875,-316.65174584228805,101,200,250
181,-405.34234310310205,-316.92207332523566,135,200,250
182,-291.508502363715,-315.96028769555176,118,200,250
183,-305.9320934682236,-316.1608976319685,213,200,250
184,-276.6324563848845,-313.6688968992948,95,200,250
185,-363.21586113492697,-314.2188639914944,203,200,250
186,-350.934250709136,-316.4903828947383,335,200,250
187,-266.41336877198034,-315.66663050477376,90,200,250
188,-98.15444136272326,-312.9065964078303,196,200,250
189,-262.8761160850926,-311.82377000833293,138,200,250
190,-415.9073601047958,-312.64895300996335,164,200,250
191,-243.44469743881717,-311.7198532732171,111,200,250
192,-180.99835033747135,-310.2249200604808,203,200,250
193,-278.17419216420603,-309.74095095484745,112,200,250
194,-300.623658466856,-310.3269254359186,100,200,250
195,-215.2542810438984,-311.3247244420201,142,200,250
196,-378.29606321463444,-311.83417532926364,354,200,250
197,-308.6282935680341,-313.4010017483752,122,200,250
198,-263.50736133451096,-310.2402667306085,229,200,250
199,-296.31591904223643,-307.98055483711596,173,200,250
200,-240.21527979356563,-304.44734428964324,107,200,250
201,-321.1277727263806,-306.4085274745906,128,200,250
202,-520.5393915300176,-308.11493287978925,352,200,250
203,-403.66395681625306,-308.5515403145734,211,200,250
204,-428.2462622905777,-311.0642138815513,488,200,250
205,-216.60583144968598,-311.9180529092193,178,200,250
206,-149.34270922670055,-309.3534593594097,153,200,250
207,-172.39149870589762,-308.3899919893459,288,200,250
208,-312.5884446112634,-307.01302432486455,394,200,250
209,-180.26041491583408,-307.44008665972876,228,200,250
210,-319.8405752682927,-307.2226303336141,240,200,250
211,-305.74984819586456,-306.931332069669,197,200,250
212,-318.02597743363987,-305.58275695063725,309,200,250
213,-577.1393890927545,-309.71352679489445,258,200,250
214,-235.90488083822262,-308.3967090564481,453,200,250
215,-235.14262098464584,-309.46944990357264,158,200,250
216,-401.7300752311016,-309.8683019426295,469,200,250
217,-83.19703094224599,-309.1403459346704,99,200,250
218,-401.05860997210334,-310.69543175953964,225,200,250
219,-118.65263688520997,-309.28393721674286,142,200,250
