,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-349.6264838951754,-349.6264838951754,84,200,250
1,-162.82023689854037,-256.22336039685786,72,200,250
2,-293.409712858229,-268.6188112173149,75,200,250
3,-564.7560304068322,-342.6531160146942,94,200,250
4,-539.3790835338598,-381.9983095185273,132,200,250
5,-516.1819747562897,-404.3622537248211,69,200,250
6,-655.8970569680826,-440.29579704528703,94,200,250
7,-190.7699950303645,-409.10507179342164,105,200,250
8,-388.2556134945499,-406.7884653157692,60,200,250
9,-242.65405014194633,-390.3750237983869,73,200,250
10,-335.66321763912816,-385.4012232384543,63,200,250
11,-124.04153151607963,-363.6212489282564,71,200,250
12,-262.91069901492835,-355.8742835503081,79,200,250
13,-517.8754943993822,-367.44579861095633,91,200,250
14,-451.836492879267,-373.07184489551037,72,200,250
15,-371.72852202726835,-372.9878872162452,109,200,250
16,-495.0821344379483,-380.16990175869836,69,200,250
17,-344.53755249006207,-378.1903267993296,75,200,250
18,-307.70061763535307,-374.48034210648876,55,200,250
19,-428.66160846625405,-377.18940542447706,77,200,250
20,-262.4836728240475,-371.7272276815994,73,200,250
21,-311.4895432149875,-368.9891511149353,54,200,250
22,-274.48007842204294,-364.880060997853,69,200,250
23,-90.5921816929339,-353.45139936014806,56,200,250
24,-142.93954478024244,-345.03092517695177,53,200,250
25,-185.45239894801603,-338.893289552762,113,200,250
26,-102.91484678200229,-330.15334722791897,64,200,250
27,-128.48142448619814,-322.9507785585718,94,200,250
28,-175.074739490868,-317.8516047976165,81,200,250
29,-177.55035595897112,-313.17489650299495,60,200,250
30,-112.95533576829818,-306.7162009954241,89,200,250
31,-179.76504350015364,-302.748977323697,102,200,250
32,-134.33027821287243,-297.6453803809447,113,200,250
33,-147.41820886618626,-293.2269341599224,209,200,250
34,-110.6108441968296,-288.0093315895483,204,200,250
35,-235.24264912191768,-286.5435904098919,85,200,250
36,-242.02962138475263,-285.3405101659692,105,200,250
37,-364.6669275249845,-287.42804746489065,159,200,250
38,-169.94803330385685,-284.41573940947956,104,200,250
39,-317.49992382617,-285.2428440198968,200,200,250
40,-120.36621671325051,-281.22146286607614,57,200,250
41,-182.51012429833722,-278.87119290017756,139,200,250
42,-209.0206427629244,-277.2467615016368,127,200,250
43,-124.00234921495162,-273.7639339496667,113,200,250
44,-331.0031787627187,-275.0359171677345,185,200,250
45,-189.4324171950467,-273.17497151615436,201,200,250
46,-274.44567603606544,-273.2020077825355,168,200,250
47,-344.5424701338895,-274.6882674148553,209,200,250
48,-271.67512158779607,-274.6267746428745,195,200,250
49,-73.176563135659,-270.5977704127302,153,200,250
50,-113.84036191355102,-267.52409573627574,140,200,250
51,-27.79385527679186,-262.9138988043626,226,200,250
52,-221.8692049029358,-262.1394706175432,130,200,250
53,-127.25667967778674,-259.6416411556959,121,200,250
54,-345.75855619076856,-261.20740324724267,130,200,250
55,-195.23347218412488,-260.0292973354013,165,200,250
56,-292.7984181051672,-260.6041941910112,132,200,250
57,-126.6068072115417,-258.2938944155031,196,200,250
58,-260.55958932450596,-258.33229602413024,176,200,250
59,-164.6744869826504,-256.7713325401056,164,200,250
60,-182.2124367469682,-255.54905555989023,123,200,250
61,-352.83286454853646,-257.11814925325547,156,200,250
62,-189.30665824549715,-256.04177638011646,190,200,250
63,-358.9734928021871,-257.6500844492113,111,200,250
64,-225.67758322234658,-257.15819981495184,106,200,250
65,-435.7217941058898,-259.86370881936,399,200,250
66,-52.739675975876125,-256.77230534408415,171,200,250
67,-213.63130840893916,-256.1378789185673,144,200,250
68,-88.54875729314422,-253.70905106892351,158,200,250
69,-218.88067165294424,-253.21150279155236,122,200,250
70,55.63261449803974,-248.86158564662853,171,200,250
71,-112.73825135876203,-246.97098378151927,109,200,250
72,-340.7486570339645,-248.25560944251166,108,200,250
73,-350.8502335857443,-249.64202328228507,229,200,250
74,-90.88202861803714,-247.52522335342846,150,200,250
75,-48.95791107476269,-244.9124955602881,94,200,250
76,-165.84371393911448,-243.88562826650661,101,200,250
77,-241.73933710679987,-243.85811171317704,154,200,250
78,-247.80984501144258,-243.9081336536614,157,200,250
79,-69.83321441837992,-241.7321971632204,237,200,250
80,-183.1009181099258,-241.00835421194517,86,200,250
81,-85.85178758682856,-239.11620096041935,258,200,250
82,-231.78649749164785,-239.0278912800727,232,200,250
83,-143.05776200367862,-237.885389741068,117,200,250
84,-79.55861801877954,-236.02272183845284,180,200,250
85,-136.80244643511838,-234.86899770585592,108,200,250
86,-9.406159084428026,-232.27747082514986,120,200,250
87,-50.08026676050244,-230.20704805168796,170,200,250
88,-143.38650265273762,-229.23153630563235,118,200,250
89,34.72360648445522,-226.29870138574248,131,200,250
90,-109.57188709869683,-225.0159891408299,122,200,250
91,-144.27811115077867,-224.13840351050325,98,200,250
92,-104.71324870788722,-222.85426206101278,114,200,250
93,-163.39998660418905,-222.2217697689189,117,200,250
94,-46.904383342674905,-220.37632359601105,121,200,250
95,-115.82400022314799,-219.2872368942104,179,200,250
96,-156.80381520823983,-218.6430779077571,87,200,250
97,-265.58440945770724,-219.12207108683822,173,200,250
98,-189.63921623444617,-218.82426447216758,117,200,250
99,-208.7624013612418,-218.72364584105833,169,200,250
100,-231.02510413170162,-217.53763204342363,116,200,250
101,-271.1790427995908,-218.62122010243414,222,200,250
102,-345.0770026832873,-219.13789300068467,363,200,250
103,-177.09069440939822,-215.2612396407104,190,200,250
104,-449.00823198075574,-214.3575311251793,88,200,250
105,-172.30773056302337,-210.91878868324667,136,200,250
106,-99.8744769856667,-205.35856288342254,150,200,250
107,-141.01213629727576,-204.8609842960916,91,200,250
108,-197.57677424378466,-202.95419590358398,368,200,250
109,-178.45332749177368,-202.31218867708222,95,200,250
110,-134.93056627815304,-200.30486216347242,158,200,250
111,-86.26722986796256,-199.9271191469913,196,200,250
112,-153.42359762012654,-198.83224813304324,141,200,250
113,-249.45537278488544,-196.14804691689832,166,200,250
114,-74.7755109017798,-192.37743709712345,334,200,250
115,-206.41787594518712,-190.72433063630262,158,200,250
116,-58.61982267902924,-186.35970751871344,176,200,250
117,-332.5649512555488,-186.2399815063683,437,200,250
