,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-555.1044498353201,-555.1044498353201,78,200,250
1,-325.64727088417675,-440.37586035974846,59,200,250
2,-179.41335951039053,-353.38836007662917,83,200,250
3,-203.5225732759668,-315.9219133764636,82,200,250
4,-263.93248088206906,-305.5240268775847,63,200,250
5,-534.1362296432521,-343.6260606718626,88,200,250
6,-268.04956984982664,-332.82941912585744,63,200,250
7,-262.1430658534275,-323.99362496680374,66,200,250
8,-27.49467713378249,-291.0492974298014,69,200,250
9,-130.21307037798778,-274.96567472462004,119,200,250
10,-117.89707686547467,-260.6867112828795,97,200,250
11,-134.71784774291586,-250.18930598788256,78,200,250
12,-156.22325697725591,-242.9611483716805,77,200,250
13,-141.9472264596621,-235.74586823510776,83,200,250
14,-105.1151721952773,-227.03715516578575,54,200,250
15,-84.11038032112509,-218.10423173799444,52,200,250
16,-123.15996889188654,-212.51927509998808,87,200,250
17,-160.00563687478098,-209.60185075414324,87,200,250
18,-128.44786642323604,-205.3305884209376,100,200,250
19,-110.83053971946957,-200.6055859858642,90,200,250
20,-147.9002757403367,-198.09580930750573,102,200,250
21,-129.37589504890667,-194.97217684120577,72,200,250
22,-154.19211383334635,-193.19913062347274,90,200,250
23,-103.90502937932153,-189.4785430716331,92,200,250
24,-153.99608358694041,-188.05924469224541,81,200,250
25,-214.48729128163478,-189.07570802260653,92,200,250
26,-105.2297916928028,-185.97030371409528,56,200,250
27,-372.82395023181687,-192.64364823258532,109,200,250
28,-135.82957297141053,-190.68454218909656,56,200,250
29,-333.06077199393036,-195.43041651592435,148,200,250
30,-233.19360661507153,-196.64858393847751,68,200,250
31,-127.77466834824698,-194.4962740762828,89,200,250
32,-122.15021762005523,-192.303969335185,76,200,250
33,-131.96442882209078,-190.5292769671528,118,200,250
34,-225.14168625541214,-191.51820294681738,128,200,250
35,-132.6365070816858,-189.88260028389703,84,200,250
36,-305.09579099040184,-192.99647030299175,159,200,250
37,-91.51385977121033,-190.3258752889975,163,200,250
38,-229.55495389999743,-191.33174909953598,121,200,250
39,-178.04769140160306,-190.99964765708765,288,200,250
40,-234.732668649931,-192.0663067056936,120,200,250
41,-252.04827685880508,-193.49444885219623,156,200,250
42,-199.24029077611516,-193.62807308298503,321,200,250
43,-418.9255274186839,-198.7484697724327,139,200,250
44,-519.3590410737737,-205.87314913468475,255,200,250
45,-288.59461411925344,-207.67144185174058,155,200,250
46,-238.7107941322734,-208.33185360239023,94,200,250
47,-309.86763462998545,-210.44718237379846,139,200,250
48,-332.2612225211352,-212.93318319313187,158,200,250
49,-315.1571738625896,-214.97766300652103,129,200,250
50,-392.444522956883,-218.4574053584889,146,200,250
51,-254.29764995828705,-219.14664083156197,95,200,250
52,-181.70015641111536,-218.44010338966675,115,200,250
53,-201.50191638927473,-218.12643326002984,274,200,250
54,-116.24118080291537,-216.27397412444594,244,200,250
55,-41.50855904263549,-213.1531631408422,164,200,250
56,-110.66875592253652,-211.35519108438066,186,200,250
57,-233.01555882584327,-211.7286457006128,208,200,250
58,-217.47314109142653,-211.82601002927066,384,200,250
59,-170.71024749777706,-211.14074732041243,960,200,250
60,-371.3863886827334,-213.76772504766356,885,200,250
61,-112.44331424599457,-212.13346035731408,458,200,250
62,-62.50116999027706,-209.75834463720238,171,200,250
63,-192.12900583166743,-209.4828862183659,539,200,250
64,-186.8123336817861,-209.1341084870339,554,200,250
65,-142.0947547926906,-208.11836070378627,279,200,250
66,-125.71827288396186,-206.88850864677397,187,200,250
67,-333.1410259415191,-208.74516331287316,742,200,250
68,-175.1152808664829,-208.25777371220084,257,200,250
69,-303.8602939717887,-209.62352400162354,787,200,250
70,-221.29899985014376,-209.78796732343366,617,200,250
71,-216.41608515319774,-209.88002451551375,208,200,250
72,-25.173587708513395,-207.34979935377402,254,200,250
73,-96.58002616913998,-205.85291052695464,999,200,250
74,-131.5952030268509,-204.8628077602866,999,200,250
75,-110.7013258864914,-203.62384089352614,999,200,250
76,-132.42739608830522,-202.69921174021158,303,200,250
77,-61.99109669105649,-200.8952615472737,256,200,250
78,-75.16008327835658,-199.3036770122241,463,200,250
79,-123.68533746758911,-198.35844776791615,999,200,250
80,-114.99559165423341,-197.32927670478426,335,200,250
81,-13.794216158176937,-195.09104425909393,255,200,250
82,-204.3751268957052,-195.2029006764025,234,200,250
83,-179.1373294834816,-195.01164387648677,262,200,250
84,-138.9989770614344,-194.35267132572147,596,200,250
85,-191.83521465560779,-194.3233985737434,183,200,250
86,-87.97628231921946,-193.10101792713965,457,200,250
87,-76.59484119131174,-191.77708410059614,208,200,250
88,4.5626641009813085,-189.5710195140616,445,200,250
89,-166.40850721358163,-189.31365826627848,199,200,250
90,-140.72396728972424,-188.77970561818447,805,200,250
91,-69.11273422455345,-187.4789776682537,999,200,250
92,-55.062507917841614,-186.05514466018474,237,200,250
93,-143.60702419359558,-185.6035689105402,149,200,250
94,-73.74985199758247,-184.426161364088,999,200,250
95,-32.53952662328878,-182.8440089188713,215,200,250
96,-91.37604640271526,-181.90104023313773,999,200,250
97,-57.24617830681751,-180.62905184613447,219,200,250
98,-150.22220583896308,-180.32191198747617,569,200,250
99,-68.389852682744,-179.20259139442885,202,200,250
100,-71.0254379319878,-174.36180127539558,999,200,250
101,-42.730795279849566,-171.5326365193523,232,200,250
102,-68.38312180945947,-170.42233414234303,999,200,250
103,-53.48882274992902,-168.92199663708263,999,200,250
104,-140.20013733555962,-167.68467320161756,235,200,250
105,-106.76738071979439,-163.41098471238297,144,200,250
106,-40.51479637624945,-161.13563697764718,999,200,250
107,-40.67453161163861,-158.9209516352293,308,200,250
108,-71.1076813916275,-159.35708167780777,391,200,250
109,-128.1271657444363,-159.33622263147225,926,200,250
110,-18.43789846654328,-158.34163084748292,999,200,250
111,-48.70090408964333,-157.48146141095017,266,200,250
112,-45.75955985944489,-156.3768244397721,260,200,250
113,105.17525698317637,-153.9055996053437,999,200,250
114,-22.8778224485746,-153.08322610787664,999,200,250
115,-25.463993159806947,-152.49676223626346,443,200,250
116,4.683250334923073,-151.21833004399537,212,200,250
117,-10.628801894278013,-149.72456169419033,211,200,250
118,-33.2810499219984,-148.77289352917794,999,200,250
119,-56.338534760399206,-148.22797347958726,999,200,250
120,-36.637944394852106,-147.1153501661324,999,200,250
121,43.73931323223567,-145.38419808332097,243,200,250
122,-110.24068795552054,-144.94468382454272,999,200,250
123,-172.17457500322178,-145.62737928078175,948,200,250
124,-183.37116493493494,-145.92113009426168,222,200,250
125,-78.70633893214847,-144.56332057076682,646,200,250
126,-64.84259192006935,-144.15944857303947,999,200,250
127,-174.49142424912594,-142.1761233132126,247,200,250
128,7.527969312901083,-140.74254789036945,999,200,250
129,-15.439918157959923,-137.56633935200975,297,200,250
130,-110.28485946133881,-136.33725188047242,379,200,250
131,-149.53556795304382,-136.55486087652037,999,200,250
132,-112.63278901713362,-136.45968659049117,464,200,250
133,-200.10147458753204,-137.1410570481456,808,200,250
134,-99.7565126210921,-135.8872053118024,999,200,250
135,-38.838077701440284,-134.94922101799995,999,200,250
136,-210.67835696435,-134.00504667773941,839,200,250
137,-25.684380465765503,-133.34675188468498,999,200,250
138,-186.2915553632069,-132.9141178993171,894,200,250
139,-14.331947654751998,-131.27696046184855,999,200,250
140,-0.5416592503189086,-128.93505036785243,999,200,250
141,-94.3584673882867,-127.35815227314724,232,200,250
142,24.226790044911702,-125.12348146493697,999,200,250
143,-114.02425255127919,-122.07446871626293,471,200,250
144,-75.24896906120334,-117.63336799613724,999,200,250
145,-61.392605520112824,-115.36134791014584,999,200,250
146,-91.49200906696502,-113.88916005949277,999,200,250
147,-74.34540835351028,-111.53393779672803,999,200,250
148,-11.675885572458062,-108.32808442724125,999,200,250
149,-40.10140795461749,-105.57752676816149,999,200,250
150,-52.98068888604219,-102.1828884274531,999,200,250
151,-174.80980340385133,-101.38800996190872,201,200,250
152,-41.97189662037699,-99.99072736400136,999,200,250
153,-0.15973835414898097,-97.9773055836501,999,200,250
154,-2.3920497950824995,-96.83881427357176,351,200,250
155,55.414129778215525,-95.86958738536323,999,200,250
156,-129.16156248815722,-96.05451545101947,718,200,250
157,-25.413772260221418,-93.97849758536324,999,200,250
158,-38.55520038119897,-92.18931817826098,999,200,250
159,-57.06690587345754,-91.05288476201778,999,200,250
160,-1.378571799143262,-87.35280659318188,999,200,250
161,-110.40599161005734,-87.33243336682251,999,200,250
162,3.517532350151102,-86.67224634341822,999,200,250
163,10.829539221891313,-84.64266089288263,999,200,250
164,-180.67276547066345,-84.58126521077139,822,200,250
165,60.67891896050411,-82.55352847323945,999,200,250
166,-66.74482535193394,-81.96379399791917,999,200,250
167,-140.04361781498596,-80.03281991665385,736,200,250
168,-99.25059178934909,-79.2741730258825,999,200,250
169,84.81565263864313,-75.3874135597782,999,200,250
170,-301.84715280147293,-76.19289508929148,697,200,250
171,-18.643153821473298,-74.21516577597424,999,200,250
172,-23.027885386248673,-74.19370875275158,999,200,250
173,22.94829171351395,-72.99842557392505,999,200,250
174,48.093433242379284,-71.20153921123274,999,200,250
175,74.38204242784039,-69.35070552808943,764,200,250
176,-360.3021456481453,-71.62945302368784,574,200,250
177,144.1997880485698,-69.56754417629158,858,200,250
178,-115.82687102547803,-69.9742120537628,522,200,250
179,29.41081754355883,-68.44325050365131,999,200,250
180,165.45384040096337,-65.63875618309935,591,200,250
181,152.17379253476722,-63.979076096169905,890,200,250
182,-49.360247191412384,-62.42892729912697,999,200,250
183,-28.302914819089295,-60.92058315248304,138,200,250
184,25.19284893982524,-59.27866489247045,999,200,250
185,-133.638676680096,-58.69669951271534,102,200,250
186,-43.42128762529426,-58.25114956577607,445,200,250
187,-40.40652171133219,-57.88926637097629,285,200,250
188,-280.4314998802678,-60.73920801078876,508,200,250
189,-225.12704942797922,-61.32639343293274,758,200,250
190,66.78180122319719,-59.25133574780352,999,200,250
191,4.27564585719341,-58.51745194698606,178,200,250
192,70.694149697266,-57.25988537083499,999,200,250
193,8.212195449113516,-55.7416931744079,999,200,250
194,58.56965592315396,-54.41849809520055,999,200,250
195,-140.84894688126934,-55.50159229778034,630,200,250
196,68.53918364466602,-53.90243999730653,999,200,250
197,40.8187995434412,-52.92179021880394,160,200,250
198,9.24479197089864,-51.32712024070533,999,200,250
199,271.6632587594253,-47.92658912628363,557,200,250
200,-64.42386827172609,-47.86057342968102,95,200,250
201,-257.36113699636377,-50.00687684684616,550,200,250
202,24.646667136221744,-49.076578957389344,999,200,250
203,83.63257866391808,-47.70536494325087,999,200,250
204,-66.73814055280847,-46.97074497542336,999,200,250
205,51.7934577740933,-45.38513659048449,999,200,250
206,-80.68331658975602,-45.78682179261955,189,200,250
207,-68.48539893094413,-46.0649304658126,81,200,250
208,-4.3362780637241505,-45.39721643253357,999,200,250
209,-49.72387683734406,-44.613183543462654,999,200,250
210,-34.60859715504704,-44.77489053034769,999,200,250
211,-207.1906777119292,-46.35978826657055,516,200,250
212,-7.031044993673205,-45.97250311791284,999,200,250
213,18.453892422598045,-46.83971676351862,999,200,250
214,-120.0242985150081,-47.81118152418295,208,200,250
215,-257.3886631957579,-50.130428224542456,944,200,250
216,-19.41074755439486,-50.37136820343563,999,200,250
217,-5.243283858794954,-50.3175130230808,999,200,250
218,46.27825485039031,-49.52191997535692,999,200,250
219,-33.96451034706857,-49.298179731223605,999,200,250
220,-41.853650015422964,-49.35033678742932,999,200,250
221,-5.149528510387256,-49.839225204855545,999,200,250
222,-199.43736625901792,-50.73119198789052,741,200,250
223,-22.200333225342636,-49.231449570111735,999,200,250
224,-30.972467889842736,-47.7074625996608,999,200,250
225,21.03122549459529,-46.710086955393365,999,200,250
226,166.1083942049896,-44.400577094142776,796,200,250
227,111.61284646185365,-41.53953438703298,991,200,250
228,-39.35471988708191,-42.00836127903281,999,200,250
229,-45.578154404717225,-42.30974364150039,999,200,250
230,-5.502526481090295,-41.26192031169791,999,200,250
231,-50.23436228279143,-40.26890825499538,999,200,250
232,79.20803299893281,-38.350500034834724,999,200,250
233,-46.21450340557591,-36.81163032301516,999,200,250
234,-44.512783635216586,-36.25919303315641,999,200,250
235,123.4766055591055,-34.63604620055094,999,200,250
236,-17.30055382936725,-32.70226816920112,999,200,250
237,173.70109953135136,-30.708413369229948,901,200,250
238,-19.746118382889154,-29.042958999426773,999,200,250
239,-37.2110304807004,-29.271749827686254,999,200,250
240,-69.81057040020596,-29.964438939185115,999,200,250
241,-46.80374339497229,-29.488891699251965,999,200,250
242,-18.614658728051,-29.9173061869816,999,200,250
243,-49.87681031830554,-29.275831764651866,999,200,250
244,-51.59275659857147,-29.039269640025545,999,200,250
245,200.43157755749016,-26.421027809249523,552,200,250
246,42.99163053755791,-25.076191413204292,177,200,250
247,-53.01319422710729,-24.862869271940262,999,200,250
248,-71.04128129693761,-25.456523229185056,999,200,250
249,56.09115135614395,-24.494597636077444,999,200,250
250,-35.89665188641306,-24.32375726608115,999,200,250
251,-7.475899157366554,-22.650418223616303,999,200,250
252,-43.97844535222891,-22.67048371093482,999,200,250
253,-65.20173372532886,-23.32090366464662,999,200,250
254,196.89443406694318,-21.328038826026365,728,200,250
255,42.949895640719845,-21.45268116740132,999,200,250
256,-22.948765146279413,-20.39055319398254,999,200,250
257,-49.083770205210975,-20.627253173432436,999,200,250
258,-13.84582206206082,-20.380159390241054,999,200,250
259,0.019598292187115618,-19.809294348584604,999,200,250
260,-60.18682127116955,-20.397376843304873,999,200,250
261,-53.46846242963366,-19.828001551500634,999,200,250
262,34.384190819905385,-19.519334966803093,999,200,250
263,-53.8774286868545,-20.166404645890548,999,200,250
264,215.95986905857836,-16.200078300598133,604,200,250
265,-81.36529348536943,-17.620520425056867,999,200,250
266,-69.19681293332735,-17.6450403008708,999,200,250
267,-41.64446239519691,-16.661048746672908,999,200,250
268,1.6746302897943692,-15.651796525881474,999,200,250
269,-17.043228909909192,-16.670385341366995,999,200,250
270,-59.20376753158373,-14.243951488668108,583,200,250
271,29.70573069477113,-13.760462643505663,999,200,250
272,-67.71675060000345,-14.207351295643209,118,200,250
273,15.790715575167441,-14.278927057026674,999,200,250
274,-8.439714555759096,-14.84425853500806,326,200,250
275,-19.023723007561998,-15.778316189362084,367,200,250
276,-219.21376531828628,-14.367432386063491,104,200,250
277,-208.65763764901118,-17.896006643039303,104,200,250
278,-60.42597778107985,-17.34199771059532,999,200,250
279,3.589631363286398,-17.600209572398047,999,200,250
280,-25.75552151321728,-19.51230319153985,999,200,250
281,-4.173619955142884,-21.075777316438952,999,200,250
282,153.9375709143376,-19.042799135381454,999,200,250
283,199.41002617809238,-16.765669725409634,836,200,250
284,206.9735189250182,-14.947863025557703,671,200,250
285,-63.64431638526114,-14.247919422609359,999,200,250
286,241.471882281646,-11.398987723539959,658,200,250
287,130.2996045394503,-9.69192646103213,866,200,250
288,-30.4146713710919,-7.191758175940372,274,200,250
289,214.37115830770904,-2.796776098583489,768,200,250
290,58.885171460862736,-2.875742396206833,999,200,250
291,-49.52291489612249,-3.413728003739992,999,200,250
292,234.7057509972536,-1.7736119907401158,582,200,250
293,207.96036160074942,0.22386967077624292,512,200,250
294,110.9824048686339,0.7479971602310429,997,200,250
295,-38.859347227784255,1.7678931567658935,999,200,250
296,155.88554804407093,2.641356800759943,645,200,250
297,-24.661491837290892,1.9865538869526218,999,200,250
