,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-428.3932362352043,-428.3932362352043,80,200,250
1,-203.5744657562958,-315.98385099575006,55,200,250
2,-502.0874728839771,-378.01839162515904,146,200,250
3,-258.38476972539286,-348.10998615021754,84,200,250
4,-125.19899678951144,-303.52778827807634,89,200,250
5,-134.4799960249178,-275.35315623588326,94,200,250
6,-735.8323488577385,-341.13589803900544,98,200,250
7,-341.4521250540514,-341.17542641588614,74,200,250
8,-179.0178267991975,-323.15791534736513,107,200,250
9,-258.82991243497435,-316.72511505612607,87,200,250
10,-602.3072321139668,-342.68712569774794,62,200,250
11,-605.0574366229589,-364.5513182748488,85,200,250
12,-168.76113204300626,-349.4905347185532,54,200,250
13,-667.9939762869435,-372.2407805448668,111,200,250
14,-498.42983389141364,-380.6533841013033,109,200,250
15,-582.602666283665,-393.27521423770094,78,200,250
16,-357.8556465578635,-391.191710256534,122,200,250
17,-451.529436757848,-394.54380617327365,122,200,250
18,-340.2733082185832,-391.68746417565836,105,200,250
19,-191.3836237579915,-381.67227215477504,94,200,250
20,-470.9509147031197,-385.9236360856486,166,200,250
21,-401.1221878491418,-386.6144793476256,84,200,250
22,-718.902463395413,-401.0617830018772,153,200,250
23,-387.9680599633333,-400.51621120860455,144,200,250
24,-269.6800049713754,-395.28276295911536,90,200,250
25,-490.2096005318197,-398.93379517345016,111,200,250
26,-279.9748299158221,-394.5279075713158,141,200,250
27,-216.01455968090727,-388.15243086094404,185,200,250
28,-328.34250409911965,-386.0900195932949,202,200,250
29,-317.08955872756417,-383.7900042311039,68,200,250
30,-417.6559864887864,-384.8824552716743,157,200,250
31,-322.4454717430468,-382.9312995364047,76,200,250
32,-463.6505371152776,-385.3773370387948,197,200,250
33,-250.87514971550323,-381.42139035281565,128,200,250
34,-143.6045917324952,-374.62662467794934,137,200,250
35,-211.3796072795717,-370.0919853057722,132,200,250
36,-236.3263843563056,-366.47669879362445,91,200,250
37,-285.94387432961355,-364.3574139393084,206,200,250
38,-114.47785184292466,-357.95024568042675,145,200,250
39,-80.64879609269556,-351.0177094407335,118,200,250
40,-244.49918515237877,-348.4196966532126,153,200,250
41,-273.1062940608307,-346.626520401013,61,200,250
42,-333.7966471651449,-346.32815125599285,129,200,250
43,-317.81049081157505,-345.6800226095288,110,200,250
44,-383.2875482451994,-346.5157454014326,152,200,250
45,-210.55399848988085,-343.5600552511815,101,200,250
46,-430.5787172949372,-345.4115161457295,132,200,250
47,-248.473721940845,-343.391978766461,126,200,250
48,-285.3312628282571,-342.2070661962936,111,200,250
49,-286.62867295586136,-341.0954983314849,129,200,250
50,-237.71542071863442,-339.06843798613494,140,200,250
51,-296.4244499871614,-338.248361293847,104,200,250
52,-337.7858577093544,-338.2396348111207,127,200,250
53,-249.09430433153207,-336.58879535779494,169,200,250
54,-242.40938108061704,-334.8764423709371,80,200,250
55,-191.81359508332125,-332.32174866937265,108,200,250
56,-308.48738221776114,-331.90360188951985,227,200,250
57,-189.97100731443913,-329.4564881899495,179,200,250
58,-165.2725452269431,-326.6737094956612,251,200,250
59,-135.687366478864,-323.49060377871467,236,200,250
60,-202.39736733770496,-321.5054687550915,125,200,250
61,-302.74677088884715,-321.2029091120876,274,200,250
62,-498.40891086590784,-324.0157027907196,429,200,250
63,-38.90737698804422,-319.56088520005284,353,200,250
64,-275.23526148559733,-318.87895252752276,194,200,250
65,-243.46545557836038,-317.7363237858688,230,200,250
66,-439.1772418953155,-319.5488748024277,156,200,250
67,-549.6649606106749,-322.93293488784315,228,200,250
68,-91.5289791263274,-319.5792543695603,128,200,250
69,-264.32546164746725,-318.78991447353036,559,200,250
70,-92.70843995925975,-315.60566835361107,406,200,250
71,-93.55719430275794,-312.52166176957144,197,200,250
72,-114.2377896043026,-309.80544434264993,204,200,250
73,-97.37771863815783,-306.9347994006974,436,200,250
74,-531.5066199002712,-309.92909034069174,383,200,250
75,-324.94582230316223,-310.12667891914526,543,200,250
76,-280.9993695820219,-309.7484021745073,216,200,250
77,-136.1112177848159,-307.5222844259215,342,200,250
78,-341.3654076174227,-307.9506783903709,303,200,250
79,-289.97768626140396,-307.7260159887588,252,200,250
80,-234.50274109807512,-306.82202494072567,240,200,250
81,-302.8432000712529,-306.7735026862199,399,200,250
82,-42.493348044415086,-303.58940443752346,269,200,250
83,-249.80084895438395,-302.9490644912956,317,200,250
84,-34.43321694958726,-299.79005452021664,287,200,250
85,-334.7338197653226,-300.1963773719039,506,200,250
86,-314.4514556652564,-300.36022884654017,246,200,250
87,-198.03164120197417,-299.19740398694285,224,200,250
88,-214.6033680329075,-298.24690920094247,372,200,250
89,-223.9381975157529,-297.4212568488848,421,200,250
90,-87.9682676674934,-295.11957564908926,237,200,250
91,-279.5442693210929,-294.95027884117627,363,200,250
92,-209.8485706779345,-294.03520671038876,210,200,250
93,-276.513217414216,-293.84880256894013,485,200,250
94,-105.175514932758,-291.8627679622435,424,200,250
95,-68.69720748537279,-289.53812670727604,361,200,250
96,-95.45221610342921,-287.5372410309477,771,200,250
97,-240.3050274694691,-287.05527966807546,234,200,250
98,-37.76179718562317,-284.53716368340423,476,200,250
99,-4.389917828190079,-281.7356912248521,198,200,250
100,-0.9873672476628315,-277.46163253497673,215,200,250
101,166.6436830964551,-273.75945104644916,471,200,250
102,-224.76652151985314,-270.9862415328079,262,200,250
103,-12.11389118043202,-268.52353274735833,248,200,250
104,-50.33607690481301,-267.77490354851136,240,200,250
105,-197.58165018178403,-268.40592009008,276,200,250
106,-47.056249646764805,-261.5181590979702,424,200,250
107,-267.80237764883964,-260.7816616239181,116,200,250
108,-260.97911356034905,-261.60127449152964,479,200,250
109,-17.12442903494761,-259.18421965752935,406,200,250
110,-71.68637520564891,-253.8780110884462,612,200,250
111,-80.79595518737565,-248.6353962740903,208,200,250
112,-65.03873120658295,-247.5981722657261,408,200,250
113,-40.521028849985825,-241.32344279135657,419,200,250
114,-32.560882922613644,-236.6647532816686,217,200,250
115,9.279168670210964,-230.7459349321298,418,200,250
116,-74.97855970806228,-227.91716406363182,253,200,250
117,-82.38380519003482,-224.22570774795363,408,200,250
118,-71.9957796924333,-221.5429324626921,271,200,250
119,-109.77911251270042,-220.72688735023922,298,200,250
120,-9.003260783551482,-216.10741081104356,400,200,250
121,-92.34956020811,-213.0196845346332,242,200,250
122,-90.64922928544875,-206.73715219353357,391,200,250
123,-86.45962998221137,-203.72206789372237,306,200,250
124,-21.819541641380667,-201.24346326042243,384,200,250
125,-7.411156659510112,-196.41547882169928,229,200,250
126,-106.34323837599388,-194.67916290630103,409,200,250
127,-201.6491132602541,-194.5355084420945,515,200,250
128,-157.2117197271026,-192.82420059837435,148,200,250
129,-239.43886382058645,-192.04769364930453,430,200,250
130,-72.89439871806819,-188.6000777715974,339,200,250
131,-123.31993719836873,-186.6088224261506,248,200,250
132,-81.54694310821336,-182.78778648607994,357,200,250
133,-293.82060320319147,-183.21724102095683,487,200,250
134,-44.466158987310926,-182.22585669350497,208,200,250
135,-8.885438124089362,-180.20091500195016,259,200,250
136,-5.1974431054667605,-177.88962558944175,403,200,250
137,-106.15099709328236,-176.09169681707846,342,200,250
138,18.26893247808897,-174.76422897386834,318,200,250
139,-119.87422141220615,-175.15648322706343,252,200,250
140,-149.20833899421478,-174.20357476548182,357,200,250
141,-244.06906286778997,-173.91320245355143,574,200,250
142,-278.5726118335217,-173.36096210023518,401,200,250
143,-62.75512126341808,-170.81040840475362,316,200,250
144,-68.03430917099197,-167.6578760140115,513,200,250
145,-73.15932198388799,-166.28392924895158,229,200,250
146,-199.85291936922624,-163.9766712696945,234,200,250
147,-59.155270349339574,-162.08348675377945,372,200,250
148,-183.19568703065852,-161.06213099580344,105,200,250
149,-186.51041896085326,-160.06094845585338,133,200,250
150,-109.7381674925828,-158.78117592359285,460,200,250
151,-219.67628314894012,-158.01369425521062,155,200,250
152,-133.43569695906356,-155.97019264770773,124,200,250
153,-284.3561573331558,-156.32281117772396,298,200,250
154,-44.37375663699249,-154.3424549332877,586,200,250
155,-63.426727655477734,-153.05858625900927,999,200,250
156,-159.6265093138367,-151.56997752997003,114,200,250
157,-87.73842746483156,-150.54765173147396,357,200,250
158,-298.56254059917836,-151.8805516851963,539,200,250
159,-166.46556892943016,-152.18833370970196,426,200,250
160,-152.39529582619755,-151.6883129945869,348,200,250
161,-179.33582836834228,-150.45420356938183,89,200,250
162,-208.42505414338592,-147.55436500215666,121,200,250
163,-173.12397630393093,-148.8965309953155,283,200,250
